,inflow [l/s],NO2 [gN/m3],O2 [gO2/m3],Time [],NH4 [gN/m3],N20 [gN/h]
0,0.0,1.48,90.00002,2018-01-04 00:00:00,0.0,0.0
1,439.6537,0.3991992,1564.347,2018-01-04 00:20:00,3.180312,24.95852
2,135.3425,0.7242274,2350.536,2018-01-04 00:40:00,3.949007,3.819264
3,111.755,1.505563,2368.013,2018-01-04 01:00:00,3.193381,6.148356
4,0.249975,1.675189,2214.131,2018-01-04 01:20:00,1.908549,19.228720000000003
5,0.8866619,2.485845,2298.177,2018-01-04 01:40:00,0.4926946,7.043099
6,0.250635,2.667893,144.8135,2018-01-04 02:00:00,0.0,0.0
7,0.3793207,2.26,30.0,2018-01-04 02:20:00,0.0,0.0
8,0.2496725,2.26,37.37784,2018-01-04 02:40:00,0.0,0.0
9,0.074361,2.26,58.241420000000005,2018-01-04 03:00:00,0.0205584,0.0
10,0.4108335,2.26,70.00001,2018-01-04 03:20:00,0.01264135,0.0
11,0.5389275,2.26,79.58626000000001,2018-01-04 03:40:00,0.01963394,0.0
12,0.2579325,1.753527,80.00001,2018-01-04 04:00:00,0.01185357,0.0
13,0.1289873,1.69,80.00001,2018-01-04 04:20:00,0.0,0.0
14,0.2576773,1.69,95.45434999999999,2018-01-04 04:40:00,0.0,0.0
15,0.0,1.69,100.0,2018-01-04 05:00:00,0.0,0.0
16,0.2573945,1.45294,100.0,2018-01-04 05:20:00,0.0,0.0
17,262.9352,1.15,100.0,2018-01-04 05:40:00,0.4475533,0.0
18,124.0742,0.7151061,1744.281,2018-01-04 06:00:00,1.750172,0.0
19,199.7839,0.5299999,2752.0730000000003,2018-01-04 06:20:00,1.902189,0.0
20,64.60119,0.9761714,2790.69,2018-01-04 06:40:00,1.525936,7.904959e-07
21,0.0,1.509351,3206.355,2018-01-04 07:00:00,0.0970775,0.036621549999999996
22,0.6373373,1.096754,4520.551,2018-01-04 07:20:00,0.0,0.230677
23,0.0,0.8649842,3063.5530000000003,2018-01-04 07:40:00,0.0,0.0009281422
24,1.378237,0.013464,2139.4289999999996,2018-01-04 08:00:00,0.0,0.031358500000000004
25,0.0,0.0,947.7192,2018-01-04 08:20:00,0.0,0.0
26,0.3792517,0.0,701.3412999999999,2018-01-04 08:40:00,0.0,0.0
