,inflow [l/s],NO2 [gN/m3],O2 [gO2/m3],Time [],NH4 [gN/m3],N20 [gN/h]
0,172.689,1.098505,2654.242,2018-01-04 00:00:00,5.342772,2.513193
1,20.6793,1.757241,2729.159,2018-01-04 00:20:00,4.640259,9.092233
2,0.420684,2.18,2698.947,2018-01-04 00:40:00,3.676655,18.88344
3,1.671508,2.751343,2736.9880000000003,2018-01-04 01:00:00,2.754334,33.46859
4,0.6620342,3.07,2053.827,2018-01-04 01:20:00,1.881392,12.4773
5,0.2979248,3.07,168.85490000000001,2018-01-04 01:40:00,1.373182,0.0
6,0.1288742,3.07,248.97469999999998,2018-01-04 02:00:00,1.07932,0.0
7,0.1287467,3.07,110.9984,2018-01-04 02:20:00,0.9946453,0.0
8,0.258655,3.07,89.34126,2018-01-04 02:40:00,1.002546,0.0
9,0.25772,3.07,55.33392,2018-01-04 03:00:00,1.05745,0.0
10,0.0,2.854416,69.12101,2018-01-04 03:20:00,1.138047,0.0
11,0.0,2.55,63.977740000000004,2018-01-04 03:40:00,1.163547,0.0
12,0.0,2.55,82.119,2018-01-04 04:00:00,1.155906,0.0
13,0.0,2.218326,70.98693,2018-01-04 04:20:00,1.122931,0.0
14,251.2095,2.03,337.3716,2018-01-04 04:40:00,1.069126,0.0
15,175.9732,1.118515,1563.761,2018-01-04 05:00:00,2.489798,5.712715
16,138.6368,0.2984075,2860.156,2018-01-04 05:20:00,3.485776,0.0003100385
17,71.62837,1.392936,2722.411,2018-01-04 05:40:00,3.062111,0.783835
18,0.0,1.96463,2823.246,2018-01-04 06:00:00,2.11032,6.109083
19,0.1292142,2.549788,2944.54,2018-01-04 06:20:00,1.187966,16.626060000000003
20,0.894973,3.13793,3460.286,2018-01-04 06:40:00,0.4459558,27.18146
21,0.2579044,3.39,3763.7740000000003,2018-01-04 07:00:00,0.071605,12.42629
22,0.5007476,3.39,1679.444,2018-01-04 07:20:00,0.0,0.0
23,0.3865233,2.954211,839.5123,2018-01-04 07:40:00,0.0,0.0
24,0.3863395,2.799999,706.5675,2018-01-04 08:00:00,0.0,0.0
25,0.1290583,2.799999,435.955,2018-01-04 08:20:00,0.0,0.0
26,0.2577055,2.799999,578.606,2018-01-04 08:40:00,0.0,0.0
27,0.508909,2.799999,541.8206,2018-01-04 09:00:00,0.0,0.0
28,0.3476077,2.640094,305.0579,2018-01-04 09:20:00,0.0,0.0
29,0.03946835,2.29,314.20759999999996,2018-01-04 09:40:00,0.0,0.0
30,0.0,2.29,307.8514,2018-01-04 10:00:00,0.0,0.0
31,24.15245,1.859756,216.312,2018-01-04 10:20:00,0.0,0.0
32,420.2423,0.270408,1026.287,2018-01-04 10:40:00,5.634355,4.463636
33,199.0269,0.5156997,2822.2960000000003,2018-01-04 11:00:00,7.753428,1.013741
34,170.203,1.322646,2729.8740000000003,2018-01-04 11:20:00,8.267279,2.622498
35,2.015058,1.978688,2910.129,2018-01-04 11:40:00,8.473565,11.6369
36,0.0,2.733158,2618.3329999999996,2018-01-04 12:00:00,7.189386,24.775740000000003
37,0.1306167,3.455765,2711.098,2018-01-04 12:20:00,6.149921,45.22441
38,0.8969809,4.060406,2940.779,2018-01-04 12:40:00,5.146268,69.00545
39,0.5078109,4.732816,3197.1409999999996,2018-01-04 13:00:00,4.142656,92.81737
40,0.8878301,5.316224,3159.366,2018-01-04 13:20:00,3.170532,71.89547999999999
41,0.0725475,5.977099,828.4926,2018-01-04 13:40:00,2.393859,0.0
42,0.4426518,6.080001,33.79509,2018-01-04 14:00:00,2.097838,0.0
43,0.64413,6.080001,40.253,2018-01-04 14:20:00,1.949943,0.0
44,0.2580037,6.080001,51.508919999999996,2018-01-04 14:40:00,1.96987,0.0
45,0.638034,6.080001,87.25384,2018-01-04 15:00:00,1.993788,0.0
46,0.1286191,6.080001,90.78519,2018-01-04 15:20:00,1.971885,0.0
47,0.62901,6.080001,84.48733,2018-01-04 15:40:00,1.978323,0.0
48,0.0,5.7497,145.3611,2018-01-04 16:00:00,1.902756,0.0
